,0
0,18872.127840100362
1,17552.175566275117
2,17098.35760104683
3,18878.60276210609
4,19208.847677099526
5,19142.40207526211
6,19078.441314342024
7,18021.452109133323
8,19911.10194865843
9,22092.409990854998
10,25804.11721841365
11,24848.409173287215
12,23892.70112816078
13,25326.263195850428
14,26043.044229695253
15,27476.606297384897
16,23727.698134169703
17,23216.466008130446
18,21653.190466016018
19,22427.1228409594
20,24609.482162005606
21,27954.460319948113
22,25804.11721841365
23,25326.263195850435
24,27715.53330866651
25,28671.241353792942
26,32971.92755686188
27,32733.000545580282
28,31299.43847789063
29,31538.365489172236
