,0
0,19636.01532527778
1,17959.770114583334
2,18797.892719930554
3,19995.210727569443
4,20234.674329097223
5,21431.99233673611
6,22629.310344375
7,19157.088122222223
8,18678.16091916667
9,21431.99233673611
10,24545.019156597224
11,25143.678160416668
12,29693.48658944444
13,31728.927202430554
14,28975.09578486111
15,27418.582374930556
16,31489.463600902774
17,28855.36398409722
18,25981.800765763885
19,28615.900382569438
20,31010.536397847216
21,33045.97701083333
22,33524.90421388889
23,32447.31800701389
24,33644.63601465278
25,37236.59003756944
26,40828.544060486114
27,43223.18007576389
28,45019.15708722223
29,42744.25287270835
