,0
0,61980.594297432785
1,70340.46467636585
2,64134.8834414331
3,65985.17395515915
4,65408.71678238562
5,65905.17431561329
6,67957.39495398614
7,61509.33205298163
8,60415.635831420266
9,68232.42819752825
10,69338.72206347788
11,71509.74676425674
12,78359.73888877266
13,82867.39673955117
14,86643.65558694149
15,74775.84699072706
16,80546.0278885913
17,80888.37117368235
18,80492.51088834339
19,85068.85808480092
20,90388.00653212213
21,93792.68084686328
22,107585.72214787258
23,98390.36128053306
24,117700.61910194608
25,113102.93866827631
26,119539.69127541399
27,114942.01084174421
28,108505.25823460653
29,121378.7634488819
