,0
0,55050.38993413509
1,54630.06873997764
2,56577.19685132341
3,60283.19238962246
4,63089.91662537483
5,64720.03613514576
6,65974.5181291101
7,57361.17444313626
8,58189.73750741347
9,65258.89183429109
10,69392.77042000697
11,74879.53329794556
12,79721.3781193346
13,85267.26094093737
14,106062.35740421808
15,86720.41344326163
16,81075.93191162751
17,82262.55363803045
18,69484.29830621133
19,88935.0543893936
20,98205.8864853871
21,90815.30429204281
22,90030.05002370565
23,88191.04659338029
24,90632.34672552053
25,98205.8864853871
26,108026.47513392582
27,97094.294056259
28,94223.63778840465
29,99187.94535024097
