,0
0,54448.22454921556
1,52071.10911383286
2,51683.927853297755
3,52899.83232764296
4,69658.45731802478
5,67607.06227832433
6,61938.795188204
7,52406.37036579192
8,53412.59788242612
9,67110.27211079533
10,62409.847231823485
11,62960.2215107675
12,66079.30493195502
13,69601.87782149958
14,69561.93935336416
15,65310.26753996952
16,66881.06967977367
17,64517.26706710278
18,60433.89152082326
19,67046.4815019679
20,72501.96530907782
21,67908.1539519897
22,67141.33536378952
23,73410.23263859097
24,82313.8484682486
25,88389.04417259322
26,90943.33109023226
27,90647.1207848945
28,84536.75704055285
29,85816.89588448252
