,0
0,56493.01074133895
1,54878.92472015783
2,55954.982067611905
3,58107.09676252006
4,58645.1254362471
5,77476.1290166934
6,74247.95697433117
7,57031.03941506598
8,66177.52686842562
9,81242.32973278266
10,76400.07166923932
11,76400.07166923932
12,83932.47310141785
13,88236.70249123416
14,89850.78851241525
15,71019.78493196894
16,74785.9856480582
17,69405.69891078782
18,82318.3870802367
19,81242.32973278261
20,85008.53044887188
21,86084.58779632597
22,88774.73116496115
23,87698.67381750708
24,97921.21861832081
25,98459.24729204785
26,114062.07883013193
27,134507.16843175932
28,119980.39424112931
29,131278.9963893971
