,0
0,53717.642871914395
1,52686.502247845594
2,52580.199090725095
3,54641.594479220024
4,50753.556507537905
5,49002.21199397774
6,45162.01044299984
7,39702.90039504106
8,40212.26968957677
9,45259.455003693634
10,44213.25476569943
11,51018.42854069648
12,52352.09023273736
13,57862.580139971054
14,60518.387348698096
15,50616.69119274527
16,48602.24636531188
17,50017.850074299815
18,44964.020812862924
19,51217.30403047608
20,71869.34988006034
21,61195.627045519934
22,60596.34299725313
23,62442.91742240041
24,67021.48298554443
25,64462.23447786849
26,74261.1709152715
27,70616.74434532385
28,70634.01860835594
29,78651.04837452665
