,0
0,55050.906729223774
1,57147.02871321727
2,57191.2836032488
3,59174.229147161655
4,60134.59653534592
5,61908.60095910989
6,62851.37521478163
7,49159.202435025945
8,51293.41264404657
9,64964.36484128713
10,63267.26235757794
11,61758.96864650329
12,68932.97651661477
13,105558.61370271054
14,84201.45769499357
15,87931.20178765102
16,93455.62676908718
17,122617.60420236508
18,102589.72724809524
19,111073.06319663959
20,114899.47883186594
21,109948.19095083814
22,117066.88020841022
23,176300.41816311414
24,162157.71609303745
25,175536.11444756956
26,444362.6253166086
27,344607.7502455332
28,284754.825202888
29,299264.62521322625
