,0
0,143406.96186043287
1,154528.39497253054
2,178918.69238706995
3,175667.4062164262
4,177569.9549026082
5,180971.93799889012
6,178161.44033573804
7,161064.87412208653
8,168445.2560552164
9,175765.35921809098
10,174601.22546753602
11,175505.4070213651
12,177144.2360876803
13,174537.17927413978
14,161467.98839816864
15,163660.62866620417
16,171805.79749694775
17,178387.48572419526
18,166414.61498224188
19,194075.03568312977
20,245421.24567119856
21,264763.19607685896
22,262144.8369938956
23,257861.27688263034
24,262291.7664963928
25,271246.9313024416
26,299374.5124728078
27,311498.08014039934
28,308585.8620524415
29,309328.0444112095
30,254248.31809045488
31,271024.65333712526
32,261515.67732935614
33,288520.56640371797
34,291538.2723396225
