,0
0,218656.397675746
1,209537.7450953064
2,207769.84306440482
3,225583.26528220242
4,252758.29737708403
5,309346.6702784858
6,420858.9001340662
7,333027.2527450357
8,376692.3651866307
9,464632.5679635236
10,484963.44131889165
11,460248.9980155572
12,504575.7813926944
13,638527.9607106833
14,783780.2389747271
15,687755.2444541791
16,709538.6922852296
17,698486.7199400027
18,616506.7248871726
19,749321.6572846984
20,808706.6237496024
21,771994.2254353834
22,976517.7454722847
23,1012470.2560714671
24,1199924.733693056
25,1378245.0508216533
26,1428190.8678467146
27,1366298.7888526083
28,1304660.0057635137
29,1329545.036104918
30,1120276.0948271751
31,1210542.4844868334
32,1160250.3240814495
33,1181242.8683723595
34,1168355.7930418402
