,0
0,45084.80532420655
1,49031.84569529429
2,46889.62568384911
3,46532.58901527491
4,47212.74386890876
5,51250.8285904829
6,48828.33479420698
7,42830.1187621605
8,42474.86727692917
9,44936.63510674825
10,43858.38436765418
11,42842.61504556059
12,53134.19701721177
13,50036.90391733063
14,51318.665557511995
15,43381.740415107626
16,47525.15095391117
17,50418.93315270502
18,51236.54712373993
19,51938.12417748822
20,51186.56199013954
21,49878.02259981511
22,61365.67741118985
23,58248.74729453713
24,107809.00725932121
25,101962.53181141875
26,134543.91300215697
27,111481.12939560683
28,129134.80747325791
29,124388.00496456398
30,94486.1839714751
31,118054.17446405774
32,118532.60359994716
33,129036.6223894
34,119441.2619214685
