,0
0,41713.1464949625
1,42518.04002727066
2,48892.67391864252
3,47709.91052193016
4,47903.45362321035
5,52536.199603060355
6,55334.89428982651
7,46167.70993712596
8,46914.23332777819
9,49359.63505188999
10,52444.036221498354
11,52628.362984622356
12,56225.80697825919
13,71779.91367320655
14,180591.07405802584
15,186123.94906446474
16,155878.99934853418
17,165844.9330081054
18,232319.3080160593
19,225222.72763578512
20,259811.64473600476
21,377445.91284902644
22,401177.98360124213
23,324485.76169078087
24,306744.31074009533
25,323275.3492795999
26,363974.6985773804
27,326553.2935504885
28,356549.40213620174
29,333978.5899916672
30,266204.71130368905
31,275639.1694629194
32,265737.75017044164
33,280634.42474358
34,262806.9546367699
