,0
0,48306.10301698887
1,51353.61817516109
2,57580.10992970122
3,59707.3950205038
4,73773.76890743994
5,71754.04317516109
6,66925.8230814294
7,58488.3889572349
8,67690.68963093145
9,69806.02368189805
10,66220.71173110719
11,64224.888078500284
12,69638.70912419449
13,66997.52932044522
14,60233.24077328645
15,60101.77933509079
16,67965.56354715874
17,63973.91624194493
18,67152.89283831281
19,69077.0102519039
20,85581.39626537784
21,87230.63976274163
22,88103.06567076742
23,85939.92746045694
24,100352.88150263621
25,102133.58643819566
26,110714.43304042179
27,109280.30826010545
28,114156.33251318103
29,112124.6557410662
30,91580.81826303457
31,102061.88019917985
32,107224.72940831869
33,109220.5530609256
34,113236.10244581135
