,0
0,43796.83295350452
1,45568.89284385844
2,45941.65625121445
3,51538.84218320613
4,52072.18059680779
5,61265.09970437198
6,65032.87752949344
7,54377.57890076338
8,57462.91294934076
9,60966.888978487186
10,57967.57725468427
11,62612.78279250523
12,68966.96518251217
13,65732.52577099239
14,58351.81030534353
15,54750.34230811938
16,60777.63986398337
17,58953.96657876477
18,56740.32542123528
19,59699.493393476776
20,75722.58508813327
21,79215.09147397644
22,81256.68798195702
23,80253.09419292162
24,80602.9183136711
25,95846.07426370581
26,111588.1596974324
27,103238.25937265794
28,91871.84285912565
29,100290.56104371969
30,81262.42280360863
31,84623.0282914643
32,91235.27765579463
33,101460.46466065236
34,96562.92697015965
