,0
0,46739.19055451157
1,42167.382401358416
2,42536.20278281349
3,46537.63997875176
4,56110.30651670075
5,57849.276489065756
6,54097.21758519255
7,41628.93898880475
8,47159.46389140674
9,55771.37845793646
10,54974.525455823925
11,64236.693441908166
12,90948.98180388978
13,83316.89941475219
14,66144.71403919258
15,66144.71403919258
16,75684.81702561458
17,74412.80329409165
18,68688.74150223845
19,76956.83075713752
20,95401.02986422007
21,91584.98866965125
22,94765.0229984586
23,90948.9818038898
24,109393.18091097235
25,106849.1534479265
26,122749.32509196317
27,108121.16717944943
28,99217.07105878889
29,117661.27016587144
30,167905.81256102736
31,150733.62718546775
32,142465.53793056868
33,143101.54479633013
34,139921.5104675228
