,0
0,39607.11302521008
1,40752.77331932772
2,39934.444537815114
3,43044.09390756301
4,48281.39810924369
5,51554.7132352941
6,51554.7132352941
7,39770.77878151259
8,42880.42815126049
9,44844.41722689074
10,45499.08025210082
11,46153.7432773109
12,54664.362605041984
13,55319.02563025207
14,47463.069327731064
15,55319.025630252065
16,55319.025630252065
17,51554.71323529408
18,46972.072058823505
19,53846.03382352938
20,59901.66680672266
21,57446.68046218484
22,60883.66134453778
23,75777.24516806718
24,73322.25882352938
25,77577.56848739492
26,93125.81533613442
27,94435.14138655458
28,127004.62689075626
29,182487.31827731087
30,187233.62521008396
31,185596.96764705874
32,172831.03865546212
33,172176.375630252
34,167266.4029411764
