,0
0,41680.76377465986
1,42002.056730963704
2,41506.074092579955
3,44921.24522914174
4,55395.33729376557
5,57824.95735050967
6,52479.79322567265
7,45324.12482695105
8,47589.25960585358
9,51022.02119162619
10,51022.02119162619
11,54909.413282416754
12,67057.51356613728
13,93783.33419032244
14,93783.33419032244
15,85522.62599739248
16,82121.15791795072
17,78233.76582716015
18,72402.6776909743
19,97184.80226976417
20,105445.51046269412
21,104473.66243999648
22,115649.91470101936
23,110790.67458753116
24,115163.99068967055
25,122938.77487125169
26,153066.0635748786
27,136058.72317766986
28,136058.72317766986
29,133629.10312092578
30,99128.4983151595
31,114678.06667832176
32,115163.99068967058
33,151608.29154083214
34,164242.31583590148
