,0
0,43750.00101010101
1,43606.55838383839
2,43750.00101010101
3,46762.29616161616
4,50348.36181818182
5,54221.312727272736
6,61967.21454545455
7,49631.148686868684
8,53934.42747474747
9,58811.476767676766
10,63831.96868686869
11,76598.36242424243
12,78176.23131313133
13,74733.6082828283
14,67561.47696969699
15,59098.36202020204
16,70143.44424242426
17,68135.24747474749
18,62110.65717171719
19,66413.93595959597
20,71147.54262626264
21,71004.10000000002
22,84918.03474747477
23,78176.23131313133
24,86639.34626262628
25,106004.10080808081
26,115758.19939393942
27,110737.70747474748
28,114897.54363636364
29,146168.03616161615
30,112459.01898989899
31,156065.5773737374
32,171557.38101010106
33,182459.02060606066
34,183176.23373737375
