,0
0,46966.99724563207
1,52837.871901336075
2,50515.80953751285
3,49902.434573484075
4,57087.684152106885
5,55510.434244604316
6,52443.55942446043
7,46791.747255909555
8,48281.37216855087
9,47887.05969167523
10,52487.371921891056
11,49289.05960945529
12,61293.68390544706
13,66638.80859198356
14,72115.37077081192
15,75751.80805755395
16,64448.18372045221
17,65587.3086536485
18,67120.74606372045
19,72947.80822199384
20,75269.87058581706
21,71589.62080164439
22,79388.24534429598
23,76934.74548818087
24,119345.24300102773
25,125522.80513874613
26,126442.86758478929
27,139411.36682425486
28,381606.8526207605
29,440271.78668036987
30,348177.91708119214
31,450567.7235765673
32,672346.5855704008
33,598960.6523741008
34,694778.584254882
