,0
0,52139.96314596555
1,51018.04963735268
2,48861.2676337262
3,52101.27647325476
4,54045.2817769719
5,61173.30122393472
6,62682.08145965548
7,52488.14320036264
8,52768.62157751586
9,57265.947280145054
10,65777.01527651858
11,82760.46459655484
12,106127.21491387126
13,91513.3242973708
14,82586.3745693563
15,78679.02062556664
16,81125.95267452401
17,80062.06917497733
18,74326.76994560291
19,83553.54138712601
20,108206.62357207616
21,98873.46378059837
22,110711.58563009971
23,102645.41436990026
24,126727.86813236626
25,158741.08980054397
26,160540.0200815956
27,156584.3077969175
28,231916.93123300088
29,242381.67620126926
30,185599.31233000907
31,275371.7363553943
32,326970.0860834088
33,271009.81400725286
34,285894.51133272884
