,0
0,42791.53822706519
1,41273.025258642534
2,42228.8105998542
3,42577.32177293482
4,52943.236335418034
5,51769.95905912597
6,48991.368569236096
7,39264.172792004
8,40572.3998834363
9,41257.30295008251
10,54424.40882101065
11,49776.17380485748
12,54089.327119825066
13,52571.14169949739
14,46326.10972021642
15,39384.71049096422
16,45435.50644990986
17,41156.418136822336
18,36320.17051413883
19,44931.73747979896
20,51219.678259525004
21,50033.95415562292
22,53479.432566933974
23,49740.798610597405
24,44118.435559912534
25,45878.02392625563
26,51473.528033150455
27,51131.24027387486
28,63179.114304186034
29,60873.50326347698
30,49721.14572489738
31,63136.53305183596
32,69796.24091938767
33,87349.2157823735
34,77487.39773809617
