,0
0,46065.42161520964
1,43426.381083784174
2,42894.59702189619
3,71807.14977285097
4,65435.28332364201
5,66035.25502411975
6,60202.130559103854
7,48563.51452051225
8,53701.045552800635
9,58311.36487214435
10,63605.74735296716
11,67449.70122985174
12,76502.7533398769
13,86902.06401704431
14,78097.90672776074
15,67894.61066181635
16,72145.50359465783
17,73431.92402997642
18,61592.52223343829
19,74580.7764014346
20,85366.15236764368
21,86196.92829086982
22,88651.68328010081
23,84260.63791225708
24,91340.62205434266
25,99880.77589159363
26,120975.20834278426
27,123490.5966549595
28,118545.70067163168
29,132914.00902939492
30,100317.137019012
31,117712.93677060411
32,133668.04900948505
33,147031.23579083494
34,156590.4270491094
