,0
0,19100.5215625
1,18777.8776171875
2,16777.485156249997
3,17229.186679687497
4,19229.579140624995
5,20197.51097656249
6,22972.24890624999
7,22391.48980468749
8,23359.421640624987
9,25811.515624999985
10,25746.98683593749
11,25101.698945312488
12,24004.709531249988
13,23682.06558593749
14,25359.814101562493
15,23294.892851562494
16,23230.364062499993
17,23940.18074218749
18,22391.489804687495
19,22843.191328124994
20,25166.227734374992
21,24198.295898437493
22,23617.536796874996
23,21423.557968749996
24,22778.662539062498
25,25424.342890624997
26,29037.955078124996
27,26198.688359374995
28,28457.195976562496
29,26843.976249999996
30,21359.029179687495
31,24456.41105468749
32,24004.70953124999
33,24585.46863281249
34,24069.238320312492
