,0
0,17733.465203392378
1,17685.255600420296
2,19424.209614229967
3,18978.842575052542
4,26600.220228159716
5,29969.241822275595
6,25363.27393125188
7,22552.048655058545
8,29337.94267712399
9,55160.75502851997
10,50227.679375562904
11,45743.065145601926
12,47088.44941459022
13,50676.140798559
14,43780.50826628641
15,39003.36265010508
16,45294.60372260583
17,49330.75652957071
18,58748.44641248875
19,57403.06214350046
20,63681.52206544582
21,58748.44641248875
22,58748.44641248875
23,54712.293605523875
24,55609.21645151607
25,66372.29060342241
26,105836.89582707897
27,91486.13029120387
28,91037.66886820777
29,84759.20894626241
30,130502.27409186434
31,117496.89282497752
32,126017.65986190336
33,129605.35124587215
34,152925.34524166922
