,0
0,17190.296681824086
1,16778.928860794917
2,16573.10347008325
3,16984.018554481765
4,18617.26594957076
5,18835.82455801961
6,18620.944434694837
7,16079.620542668972
8,16861.27033549535
9,18547.37473221335
10,19211.08663275402
11,20436.757876095584
12,22448.77605480657
13,22229.36856517525
14,21117.730360679987
15,18510.98602552443
16,19047.535524929797
17,18959.138697794348
18,17671.44253605301
19,18348.17061472502
20,19990.75570282128
21,21522.2505401705
22,23279.09503542839
23,22625.852669471624
24,23810.664431896545
25,26707.329986907986
26,32853.62589260551
27,36051.98381986988
28,33244.394196939866
29,32810.955465166255
30,25896.87482595617
31,36637.71183578019
32,35813.108655120384
33,39055.43862763716
34,37643.63603701743
