,0
0,17869.576595744682
1,17566.27001329787
2,20519.965890957446
3,19978.549468085104
4,20069.257978723403
5,23309.2525930851
6,22821.69434840425
7,20423.588098404252
8,21911.77460106383
9,23782.63763297872
10,23694.76376329787
11,24570.667819148934
12,27884.363098404254
13,33839.94374999999
14,31396.483244680843
15,40271.7440824468
16,37615.68550531914
17,36935.37167553191
18,40047.807446808496
19,41587.01748670211
20,41884.65478723402
21,42131.268550531895
22,48064.172074468064
23,52052.511901595724
24,72833.26476063825
25,77482.07593085102
26,84727.41821808508
27,75959.87373670208
28,104620.92845744675
29,114610.20319148929
30,152968.56462765948
31,182746.46788563818
32,194294.79514627645
33,182814.49926861687
34,183282.21502659557
