,0
0,16826.654985422738
1,16030.12693877551
2,17200.02750728863
3,17747.640539358596
4,17996.555553935857
5,17623.183032069966
6,17722.74903790087
7,14387.287842565594
8,15482.513906705533
9,17946.772551020404
10,16951.112492711367
11,16229.258950437314
12,18817.975102040815
13,19913.201166180756
14,18245.470568513116
15,16005.235437317779
16,19141.56462099125
17,18593.951588921278
18,17772.53204081632
19,18668.626093294457
20,20485.705699708455
21,23074.421851311952
22,26086.29352769679
23,25015.958965014575
24,25837.378513119533
25,28177.17965014577
26,37461.70969387755
27,40697.60488338193
28,38432.47825072886
29,50181.26693877551
30,42614.250495626824
31,47667.22529154518
32,51824.10603498542
33,58893.292448979584
34,55856.52927113702
