,0
0,17763.778667174764
1,17141.33022642459
2,20627.336776229517
3,20653.704905424456
4,24634.256338057527
5,24810.44102841509
6,20059.567236000483
7,16514.970599516815
8,18833.5010322258
9,23602.687464464398
10,23167.95005738392
11,21487.797730901428
12,27196.98983761319
13,24908.479701305914
14,22253.587259043365
15,15671.345876649137
16,18930.659040683786
17,19382.906128840666
18,16749.227338651453
19,16866.92554991061
20,19056.464545104056
21,19630.96857805478
22,20604.853931297086
23,19834.298454459793
24,20193.376426001538
25,20459.41479040356
26,24573.490492191762
27,24308.799026334076
28,26937.970886778767
29,28751.103542619643
30,20210.652990022187
31,29010.12249345406
32,31600.312001798167
33,36521.67206765198
34,34708.5394118111
