,0
0,18851.68917525773
1,18851.68917525773
2,18313.069484536078
3,18859.8500796626
4,19537.2051452671
5,20369.617394564193
6,19014.907263355195
7,18092.72506560449
8,19202.60806466728
9,20418.58282099343
10,20598.122717900642
11,21267.316879100264
12,24760.18396438611
13,22972.94589971882
14,25853.745154639153
15,27167.650763823785
16,26310.755801312072
17,25005.011096532315
18,22940.302282099325
19,25396.734507966237
20,26930.984536082447
21,29012.015159325187
22,28465.23456419866
23,28652.93536551075
24,42355.09386129331
25,79283.18629334575
26,95947.75308809738
27,86358.69041237106
28,97530.96854264283
29,128338.38267104019
30,87884.77953608238
31,178193.34768041217
32,215031.670164011
33,198644.57411902508
34,187186.66433458275
