,0
0,17775.356388556404
1,18121.004355042107
2,18354.1677462275
3,19080.1029689437
4,19084.200089236096
5,19751.658231415382
6,24466.88498974052
7,18802.429952763647
8,18946.57409395973
9,22640.87296851622
10,20481.318108942844
11,20365.853809793527
12,22921.711941285852
13,22756.337267665538
14,21627.208161629547
15,19960.052668105844
16,20829.20086831531
17,21364.992462916256
18,20020.950774270077
19,22034.871630722864
20,24206.531618432866
21,24353.469250737395
22,24768.768262193815
23,23563.46996526738
24,24843.075125678613
25,25682.612320138498
26,28482.249109028333
27,26406.685215449063
28,26575.598311140082
29,26916.217993630573
30,20810.3913615184
31,29945.107286153972
32,38401.93603513871
33,35524.2677279528
34,31800.73031312785
