,0
0,15671.97683929806
1,13215.896072271637
2,14693.15338594185
3,14522.263560603078
4,15607.41707334984
5,16076.817770060432
6,19171.440825628924
7,15622.464368894833
8,16519.12084740785
9,18092.780751623573
10,18121.938789048934
11,17749.877236548477
12,20916.739798115126
13,21092.93676088678
14,21306.408559510553
15,19747.171581730072
16,18932.432330416348
17,18105.14325999664
18,23396.79633895598
19,22917.0935519345
20,26139.837148823844
21,26077.837296225593
22,29505.37396111317
23,28080.626089572994
24,26666.6798036315
25,26127.599514272726
26,28931.766059985177
27,26656.252839498666
28,25512.908125723137
29,25794.18640966584
30,19930.299041619957
31,21754.081211201825
32,23500.691358818505
33,27911.109876275677
34,25712.955988487276
