,0
0,18848.166896551727
1,18597.52637931035
2,18798.038793103453
3,19575.02439655173
4,19925.921120689658
5,21981.173362068967
6,21680.404741379312
7,21103.931551724138
8,21880.917155172414
9,23986.297499999997
10,24262.00206896551
11,25565.33275862068
12,30352.566637931024
13,29124.428103448266
14,31881.473793103443
15,39074.85663793103
16,36969.47629310344
17,37195.05275862068
18,35841.59396551723
19,41882.03043103447
20,42057.47879310344
21,40954.66051724136
22,47747.01853448274
23,56419.18043103446
24,53762.39094827584
25,56218.668017241354
26,66519.99327586204
27,66118.96844827583
28,58750.137241379285
29,57697.447068965485
30,50353.67991379307
31,53236.045862068924
32,51381.306034482724
33,51381.306034482724
34,58324.04836206892
