,0
0,19490.107922231655
1,19437.085841889908
2,19661.30633418256
3,20484.94593813531
4,23138.745993206212
5,23777.25765562676
6,25279.400152088325
7,20514.153016289667
8,23604.711224684117
9,24478.67687099514
10,23953.398803880697
11,25531.929043207492
12,28296.715995264934
13,28634.17008286369
14,35452.00080341748
15,37247.1127607504
16,34263.946732031196
17,32918.174438611386
18,30451.29968372835
19,30038.805872256104
20,31274.04060835328
21,31228.65730229805
22,32393.345711160862
23,35613.76308242621
24,36439.64938469853
25,38138.60265395404
26,41805.21431148511
27,40154.78972593222
28,45248.50415605137
29,45975.985071926705
30,38239.25473867058
31,42082.90622378342
32,49497.90935767776
33,50719.66390385754
34,48071.70526441751
