,0
0,20329.95843450479
1,21151.924408945684
2,20768.340287539933
3,20987.531214057504
4,22412.27223642172
5,24713.77696485622
6,30248.347859424906
7,21809.497188498397
8,22412.27223642172
9,23508.226869009577
10,23672.620063897757
11,29042.797763578263
12,29974.35920127794
13,30138.75239616612
14,26522.102108626186
15,26960.483961661328
16,24001.40645367411
17,22905.45182108625
18,19781.981118210853
19,20603.94709265175
20,22631.463162939286
21,25645.3384025559
22,25754.93386581469
23,24713.77696485622
24,25535.74293929712
25,27837.247667731626
26,32659.448051118205
27,41810.66923322683
28,36495.289265175714
29,34796.55958466453
30,26960.48396166134
31,32221.066198083063
32,36824.07565495207
33,40440.725942492005
34,36550.086996805105
