,0
0,16717.984839620254
1,15785.457686948865
2,16495.076994643958
3,17381.428160850217
4,18625.38438815639
5,21166.616647767714
6,19785.374864289424
7,25384.88619159922
8,32052.036022111788
9,34842.887795999864
10,39034.65273773479
11,61128.93045888273
12,59688.674522298774
13,58674.66642490079
14,65663.18455583436
15,54428.5463421475
16,58188.9902982014
17,56134.88363571664
18,47805.708893265146
19,53274.87141573279
20,59368.44509149911
21,55336.1218967514
22,58483.543395720015
23,61113.71101939758
24,66548.29331881736
25,70781.88583573594
26,89039.7259370062
27,87655.99934708135
28,82995.02012135545
29,83879.40414912485
30,59231.57366973477
31,75119.32255540011
32,72939.21549935466
33,72711.4415750872
34,71023.53326266335
