,0
0,17301.430488517744
1,18208.99928183716
2,19462.308567849686
3,20124.977845511483
4,20434.703703549058
5,21796.05689352818
6,24331.487173277656
7,20643.58858455114
8,21738.43347807932
9,22458.726171189966
10,25145.417916492675
11,26182.639394572012
12,27169.440384133595
13,29719.276517745282
14,33695.292183716054
15,35978.620020876806
16,35913.79367849685
17,32542.82387473902
18,30598.03360334027
19,32456.388751565744
20,33652.07462212942
21,36201.91075574111
22,38506.84737369518
23,40768.56643006261
24,50326.85046764089
25,48086.74019206678
26,50665.3880334029
27,54684.62126096031
28,51659.391949895595
29,62182.86819624215
30,45716.97723173276
31,49066.33825469727
32,47143.156764091844
33,58033.98228392482
34,59027.98620041752
