,0
0,17716.427539483397
1,17201.30550553506
2,17467.783076014763
3,18144.422107749077
4,18446.056374907752
5,20794.421809594103
6,32792.53620664208
7,21454.756286346874
8,21167.388504797058
9,24684.58672472326
10,29486.278166789685
11,29349.727518819203
12,29944.84377564577
13,32407.85061254614
14,29216.743492250935
15,35115.935291512935
16,33114.55116752769
17,30427.86621697418
18,31164.11877785979
19,33489.55593210333
20,39649.620611070124
21,41376.88440442806
22,39902.34121328415
23,36713.27216236164
24,40781.7681476015
25,41830.86435719559
26,43655.955480442826
27,39395.88097416976
28,39322.51047675278
29,46895.4667483395
30,41709.08971217714
31,40624.327288560904
32,47954.75330479707
33,45911.079241328436
34,46078.7104472325
