,0
0,17637.48101694915
1,17784.052881355932
2,18712.341355932203
3,19103.19966101695
4,20275.77457627119
5,21643.778644067796
6,22572.067118644067
7,22620.924406779657
8,25210.3606779661
9,25698.93355932203
10,24721.787796610166
11,27604.36779661017
12,29900.660338983052
13,31610.665423728817
14,29460.944745762718
15,24624.073220338985
16,27799.796949152544
17,25747.790847457625
18,23500.35559322034
19,24575.21593220339
20,26724.936610169487
21,27066.93762711864
22,32978.66949152542
23,30535.80508474576
24,34932.96101694915
25,37668.96915254237
26,41821.83864406779
27,57847.02915254237
28,49101.57457627119
29,50176.434915254235
30,38059.82745762712
31,43287.55728813559
32,44411.27491525423
33,61364.753898305076
34,57016.45525423728
