,0
0,18276.340479505026
1,20510.710069605568
2,19694.56309358082
3,20417.05385924207
4,21942.312142304716
5,22624.664532095903
6,22477.49048723898
7,18316.478855375095
8,24457.650363495744
9,25273.79733952049
10,23494.32934261407
11,26263.87727764887
12,29635.500850734716
13,29220.737633410663
14,34037.34273781902
15,61384.95616395977
16,44647.25342614074
17,40272.17045630316
18,39228.57268368135
19,42024.879535962864
20,44366.28479505025
21,43416.34323279194
22,42760.74976024747
23,42586.81679814383
24,45650.71282289248
25,44794.42747099766
26,47563.975406032456
27,44834.56584686772
28,44205.731291569966
29,46373.20358855372
30,37435.72522815157
31,54119.91013147716
32,163001.9444083526
33,128442.80278422269
34,115049.96470224281
