,0
0,17703.24525547445
1,18335.504014598537
2,19600.021532846713
3,27440.030145985398
4,27692.933649635033
5,26428.416131386857
6,26554.86788321168
7,23014.21883211679
8,28325.192408759125
9,28198.740656934304
10,28957.45116788321
11,27692.933649635033
12,31360.03445255474
13,35659.39401459854
14,32118.744963503643
15,27566.481897810216
16,27819.38540145985
17,27692.93364963503
18,26681.31963503649
19,26301.96437956204
20,32371.64846715328
21,32877.45547445255
22,38694.236058394155
23,37176.815036496344
24,37556.17029197079
25,42234.885109489034
26,50454.24897810217
27,44763.92014598539
28,44763.92014598539
29,66640.0732116788
30,69169.10824817515
31,84975.57722627734
32,80802.66941605836
33,93194.94109489047
34,81687.83167883208
