,0
0,19440.99687022901
1,18382.983435114507
2,19044.241832061067
3,19044.241832061067
4,20234.506946564885
5,20763.51366412214
6,21424.772061068703
7,21160.268702290075
8,21953.778778625954
9,24995.56740458015
10,24202.05732824427
11,24995.56740458015
12,27376.09763358778
13,31608.1513740458
14,32004.906412213735
15,29756.627862595415
16,28963.117786259536
17,27772.85267175572
18,30153.382900763358
19,33724.1782442748
20,34120.93328244275
21,33856.42992366412
22,34649.94
23,34914.443358778626
24,36765.96687022901
25,37294.973587786255
26,40998.02061068702
27,45494.57770992366
28,44965.5709923664
29,44701.06763358778
30,35972.45679389312
31,42188.28572519083
32,61893.78595419845
33,67845.11152671753
34,60439.017480916016
