,0
0,17898.960592105264
1,17499.93917763158
2,18982.018717105264
3,19723.058486842103
4,21775.168618421052
5,21376.147203947367
6,22915.229802631573
7,20008.073782894735
8,21547.15638157895
9,22858.22674342105
10,22630.214506578945
11,23884.281809210526
12,26335.413355263157
13,30781.651973684213
14,57459.083684210535
15,41270.214868421055
16,35341.89671052632
17,32434.74069078948
18,30610.642796052638
19,31864.710098684212
20,33916.82023026316
21,32662.752927631584
22,32434.740690789477
23,30268.62444078947
24,30154.61832236842
25,31237.676447368423
26,32947.768223684216
27,30154.618322368424
28,28957.554078947374
29,28501.529605263164
30,24283.303223684215
31,27190.45924342106
32,34201.8355263158
33,37051.988486842114
34,35227.89059210527
