,0
0,17659.84109942856
1,18565.550506870044
2,21703.90533252781
3,22094.707340054654
4,28000.83386080335
5,26020.154161655246
6,26936.26184867616
7,20863.570293923665
8,21150.67834675565
9,26639.62203956303
10,25494.174519595843
11,25296.125805754324
12,31089.315456626457
13,32977.18088249152
14,29263.647147505017
15,28820.276059882177
16,26885.61837590969
17,26930.292465954644
18,23779.036071189068
19,25196.283065718533
20,31950.06193292357
21,32782.790822576106
22,32560.96085821497
23,31851.08571618605
24,35125.7735407741
25,37967.58483768521
26,44349.914051025116
27,43457.20249305792
28,42672.806347376434
29,55148.81623536065
30,42003.657800366935
31,54259.955892052494
32,64859.461437415834
33,63751.27441927494
34,59578.5796165635
