,0
0,19031.062107184287
1,17699.993670465083
2,17242.35381369896
3,19037.591558652308
4,19370.617677438313
5,19303.612494661298
6,19239.113079237326
7,18173.222291437152
8,20078.78608167491
9,22278.464314975954
10,26021.430204665365
11,25057.6735304185
12,24093.916856171632
13,25539.55186754193
14,26262.36937322708
15,27708.004384597374
16,23927.524266362907
17,23411.986727391402
18,21835.54584140895
19,22615.995996214064
20,24816.73436185678
21,28189.882721720805
22,26021.430204665365
23,25539.551867541933
24,27948.94355315909
25,28912.700227405956
26,33249.605261516845
27,33008.666092955136
28,31563.031081584835
29,31803.970250146547
30,26503.30854178879
31,28189.882721720798
32,31081.152744461397
33,30840.21357589968
34,31081.152744461397
