,0
0,52072.267408545784
1,51061.15542003033
2,53588.93539131896
3,62688.94328795803
4,62688.94328795803
5,63700.055276473475
6,65722.27925350438
7,58138.939339638484
8,59655.60732241166
9,66227.83524776211
10,67744.50323053528
11,70777.83919608162
12,94033.414931937
13,83922.2950467825
14,89988.96697787521
15,77855.6231156898
16,78361.17910994752
17,70272.28320182391
18,68755.61521905073
19,71788.95118459708
20,87461.18700658658
21,91505.63496064839
22,87966.7430008443
23,96055.63890896791
24,99594.53086877201
25,97572.30689174111
26,104144.53481709155
27,100100.08686302975
28,102122.31084006067
29,106166.75879412249
30,80888.95908123619
31,95044.52692045251
32,98077.86288599887
33,110211.2067481843
34,98583.4188802566
