,0
0,54126.71650434478
1,53713.4477492252
2,55627.90560150469
3,59271.71938934305
4,62031.35046909027
5,63634.11870886366
6,64867.55213827902
7,56398.72907629902
8,57213.389937734544
9,64163.9331152518
10,68228.45063347708
11,73623.15281771349
12,78383.7578255783
13,83836.58799826844
14,104282.76998344937
15,85265.35850516205
16,79715.58397963544
17,80882.29574788547
18,68318.44280164798
19,87442.8406772887
20,96558.12035504571
21,89291.5424496064
22,88519.46371924745
23,86711.31635747885
24,89111.65467138492
25,96558.1203550457
26,106213.93239055028
27,95465.17899074694
28,92642.68857464861
29,97523.70155859616
30,80197.98834892924
31,103317.18877989892
32,102351.60757634846
33,122628.81285090806
34,173804.6166390823
