,0
0,51572.030495356885
1,51527.36192098467
2,53342.44302370092
3,58412.08606132204
4,60182.01828241477
5,57950.99110006043
6,60572.02777048189
7,51236.29572668827
8,50310.74365340586
9,53474.047210561024
10,56494.69951407586
11,60328.51199406561
12,70292.00561532687
13,66350.12400379142
14,63378.463039910625
15,74764.14643231314
16,81010.06192840266
17,80782.87659853106
18,70076.8279667381
19,109950.49504908694
20,106122.92656336428
21,149921.18419620124
22,125294.39049956958
23,110116.68135804165
24,107005.25098402842
25,103890.93876650732
26,112940.88799576901
27,104021.10203161347
28,98309.28819898532
29,108377.96910828433
30,97763.17885424108
31,113035.5085242779
32,114844.82593997839
33,141046.06680641795
34,139328.48807571846
