,0
0,56620.51715854145
1,55002.78809686883
2,56081.274137983906
3,58238.24622021406
4,58777.489240771596
5,77650.9949602854
6,74415.53683694017
7,57159.76017909898
8,66326.89152857712
9,81425.69610418817
10,76572.50891917033
11,76572.50891917033
12,84121.91120697586
13,88435.85537143616
14,90053.58443310876
15,71180.07871359495
16,74954.7798574977
17,69562.34965192233
18,82504.18214530322
19,81425.69610418814
20,85200.3972480909
21,86278.88328920599
22,88975.09839199367
23,87896.6123508786
24,98142.22974147182
25,98681.47276202936
26,114319.52035819794
27,134810.75513938436
28,120251.19358433085
29,131575.29701603914
30,95985.25765924167
31,117554.97848154318
32,145595.61555053512
33,195745.2164623861
34,175253.9816811997
