,0
0,55643.52120999863
1,57809.34844966535
2,55393.669205999184
3,55562.53031282065
4,59543.62890315531
5,58387.441934162
6,61277.90935664527
7,51680.863801819425
8,56511.81762371261
9,60699.815872148625
10,58965.53541865866
11,60121.722387651964
12,68793.12465510177
13,73995.96601557166
14,73417.872531075
15,73995.96601557166
16,70527.40510859173
17,69371.21813959842
18,70527.40510859173
19,73995.96601557166
20,77464.52692255158
21,75152.15298456496
22,85557.83570550472
23,97119.7053954378
24,99432.07933342441
25,100588.26630241772
26,123133.9121977872
27,108103.48160087422
28,102900.64024040433
29,114462.50993033742
30,90182.58358147796
31,108103.48160087422
32,128336.7535582571
33,139898.62324819015
34,125446.28613577381
