,0
0,54197.19960547355
1,53156.85361789508
2,53049.601454227195
3,55129.39966135357
4,51206.65177520071
5,49439.67237877232
6,45565.18796627
7,40057.34247790887
8,40571.25909548415
9,45663.50244963223
10,44607.96240553414
11,51473.888416339854
12,52819.45618635652
13,58379.140220490466
14,61058.65677612644
15,51068.56461447831
16,49036.13611297191
17,50464.377425815896
18,45365.43081143857
19,51674.53933920186
20,72510.95343578004
21,61741.942435493926
22,61137.30836281621
23,63000.36782253042
24,67619.80788850925
25,65037.71204820494
26,74924.12711830744
27,71247.16544056014
28,71264.59391715619
29,79353.1945937758
30,80094.12829111477
31,82315.14184707054
32,91713.11268846889
33,96273.56406443036
34,90948.04725430465
