,0
0,68500.25456239186
1,63410.27492680653
2,60102.42162090226
3,118815.46039236124
4,97622.99806702745
5,89695.73335070754
6,79619.54040611276
7,77203.3535576454
8,80642.12135696228
9,93520.00511910573
10,108252.4103224948
11,96798.29708778781
12,101555.25921017613
13,99752.62093221844
14,109241.2068879475
15,117306.62560883648
16,116387.81098456286
17,108515.44589451276
18,107940.50805017083
19,114006.61510668506
20,114447.62199463253
21,117742.80615601302
22,126101.42507873848
23,126512.2673368674
24,135696.79382402526
25,137972.4134975381
26,161467.04037062507
27,152041.80013751503
28,142723.34269396268
29,149070.58410038598
30,121642.4894989576
31,147818.148670319
32,139625.43521159567
33,156467.55462449547
34,149704.04132657594
