,0
0,170983.1739468799
1,174146.44590889616
2,185443.84577324003
3,211249.4854633728
4,204375.90954590891
5,217861.43738397828
6,228397.74925746108
7,203519.68555619018
8,210084.0694773668
9,235461.59717264026
10,238505.94913608453
11,240836.78110809653
12,247924.4130229901
13,243548.15707553903
14,238672.43713408534
15,233772.9331929173
16,296943.23643438524
17,369222.81156647153
18,353572.939754391
19,509453.2738826217
20,751954.934970727
21,719703.8313579896
22,664358.4640225618
23,712996.7434385263
24,711070.2394616593
25,758043.6388976153
26,852275.8457661001
27,833034.5899971441
28,748292.1990147079
29,755046.8549335998
30,630109.5044338141
31,685621.3597672426
32,656390.8241182351
33,650230.7681922034
34,681411.5918177925
