,0
0,221868.20712219557
1,212054.93420699876
2,213953.41479822207
3,225197.2329476506
4,218418.85506208547
5,231815.17585367567
6,271683.2682693664
7,224809.51508042892
8,240839.6434528008
9,255278.79161140107
10,271442.6158000563
11,267458.4804748129
12,281082.08415408485
13,360283.4857203329
14,372596.8704000281
15,375498.0696133765
16,369989.80198250304
17,350991.626488641
18,327995.94608790736
19,373907.08939960477
20,411876.7012240721
21,408774.9582862987
22,434792.16413503577
23,417558.7734161138
24,437613.1458586141
25,469766.9896747564
26,510062.9087025538
27,504354.0973472554
28,627300.7700014107
29,558821.7729010863
30,462734.589738253
31,510771.4965288555
32,450635.1183646111
33,482347.7659870183
34,510103.0174474389
