,0
0,118069.56492414403
1,119820.89298181086
2,120928.13962284212
3,124759.50958473193
4,122992.36371790752
5,125517.7758112239
6,147872.78890972305
7,120148.12390875851
8,124010.63518242734
9,126393.68699332542
10,126291.36554033725
11,124841.0701632008
12,125341.80268434572
13,121649.33285912097
14,114948.01914820106
15,110142.86531004716
16,124627.03543303715
17,120960.76385422966
18,117315.25314994152
19,124412.50639633735
20,184643.75782922015
21,232849.51985004573
22,427210.8498739237
23,373785.21083109366
24,375001.6992166194
25,360036.0745273953
26,384771.6679041117
27,391123.5068939561
28,383564.07703623694
29,588224.7780478501
30,563509.451239117
31,578338.6473243568
32,514078.79762165056
33,553623.3205156238
34,588224.7780478501
