,0
0,37269.334174757285
1,35831.2891262136
2,36789.98582524273
3,38108.19378640778
4,42062.81766990292
5,45538.09320388351
6,41343.795145631084
7,34513.081165048556
8,37149.49708737866
9,41223.95805825244
10,43740.5368932039
11,48414.18330097089
12,50211.739611650504
13,55604.40854368934
14,50211.73961165051
15,44339.72233009711
16,47455.48660194177
17,45538.093203883516
18,41823.143495145654
19,45298.41902912624
20,51769.62174757285
21,53327.50388349518
22,54286.20058252431
23,51290.27339805829
24,60397.892038834994
25,71782.41533980587
26,83047.1015533981
27,75976.71339805829
28,88679.44466019422
29,94551.4619417476
30,69625.34776699032
31,79332.15184466023
32,76216.38757281557
33,85803.35456310683
34,94072.11359223304
