,0
0,43623.103055495
1,44013.64058659709
2,57018.47954090567
3,67174.58444824991
4,167226.10255061783
5,138043.1551233183
6,133854.6096865528
7,108212.35338040552
8,130812.73597272723
9,203507.46500974032
10,270537.27074708324
11,261849.93977875146
12,273378.70502711105
13,331531.0816988179
14,687394.7198525948
15,544440.9506797101
16,696519.4285232046
17,608313.9113739779
18,523149.96378162096
19,507942.1159972715
20,492734.2682129221
21,532274.6724522306
22,495775.8377697919
23,587022.9244758887
24,602230.7722602381
25,729976.6936487735
26,778641.8065586917
27,574856.6462484091
28,447110.72485987365
29,398445.61194995546
30,276900.234260055
31,316323.23391446844
32,297483.75207921636
33,294786.7923531398
34,291273.1712010437
