,0
0,42995.61526023245
1,40969.64386053563
2,41494.89570490147
3,43783.49302678121
4,42976.85626579081
5,42920.5792824659
6,44383.78084891361
7,36730.111116725624
8,43877.2879989894
9,43577.1440879232
10,42076.42453259223
11,43352.03615462356
12,44796.478726629626
13,47854.194820616496
14,42414.0864325417
15,36542.52117230926
16,38212.071677614964
17,41382.34173825165
18,36861.424077817086
19,44327.5038655887
20,51099.500859019725
21,49448.70934815566
22,60572.793052046516
23,59409.73539666502
24,58059.087796867134
25,72390.95955027797
26,79294.26950480047
27,77624.71899949475
28,82070.60068216277
29,78206.2478271855
30,60028.782213239065
31,69126.89451743312
32,66706.98423446191
33,89030.18762001018
34,89761.78840323402
