,0
0,40244.04872064382
1,37295.514837470844
2,37271.257278295496
3,39327.843467131344
4,42137.65443377023
5,43019.33401357005
6,45189.42077047924
7,38140.11894330378
8,42131.86569805793
9,46855.47403929591
10,59279.61697534325
11,71670.06119992255
12,95100.65813066646
13,88209.30609221238
14,77183.14283068584
15,67497.76102176092
16,69602.65558838635
17,79250.54844222208
18,69602.65558838635
19,73048.33160761339
20,78561.41323837667
21,78561.41323837667
22,82696.22446144912
23,83385.35966529453
24,88898.4412960578
25,92344.11731528486
26,108883.3622075747
27,146096.6632152268
28,151609.7448459901
29,166770.71933058908
30,127490.01271140076
31,137137.9055652365
32,147474.93362291763
33,140583.58158446354
34,134381.36474985487
