,0
0,43796.18368121443
1,46737.71840607211
2,47146.26489563568
3,50741.474003795076
4,51068.31119544593
5,56869.671347248586
6,56542.83415559773
7,45348.66034155599
8,47718.22998102468
9,51231.729791271355
10,50169.50891840608
11,54745.22960151803
12,104587.90132827326
13,112350.28462998105
14,90615.61138519926
15,84078.86755218217
16,96825.51802656548
17,100665.85502846302
18,110470.97077798864
19,124606.67931688808
20,149037.75939278942
21,152551.25920303614
22,133839.82998102473
23,120766.34231499057
24,124933.51650853897
25,130244.62087286536
26,146014.5153700191
27,137680.16698292232
28,139396.06223908928
29,146749.89905123351
30,110144.13358633785
31,137026.4925996206
32,148302.37571157506
33,158107.49146110073
34,141111.9574952563
