,0
0,41802.10218579234
1,41232.591256830594
2,41574.297814207646
3,44649.65683060109
4,49775.25519125683
5,49547.45081967213
6,48180.62459016394
7,40435.27595628415
8,49775.25519125684
9,52167.20109289618
10,59001.33224043716
11,63329.61530054645
12,76428.36666666665
13,72783.49672131146
14,85198.83497267758
15,80187.13879781419
16,88274.19398907102
17,91919.0639344262
18,82920.79125683058
19,83832.00874316937
20,87476.87868852455
21,87135.17213114751
22,107637.56557377044
23,103195.38032786881
24,115838.5229508196
25,113446.57704918027
26,127114.83934426222
27,115155.1098360655
28,103423.1846994535
29,128481.66557377041
30,99778.3147540983
31,114129.99016393436
32,113332.6748633879
33,135201.89453551904
34,145225.28688524582
