,0
0,51323.737094281285
1,46537.9652457496
2,48310.967072642954
3,49870.67544667694
4,47564.43998763522
5,50737.18009891806
6,57109.32200309117
7,50910.481029366274
8,48777.546500772776
9,50523.88664605871
10,50643.8642132921
11,50270.60067078824
12,53789.94264296754
13,62601.62841421946
14,62881.57607109737
15,54309.84543431221
16,55269.66597217928
17,58255.7743122102
18,52536.84360741884
19,62908.23775270478
20,60282.06211437402
21,69520.33479134465
22,84837.4708748068
23,75065.96456568778
24,77985.41870170015
25,83357.74754559506
26,91782.83893353942
27,92076.11743122104
28,101074.4349737249
29,124670.02319629058
30,99754.68173415767
31,111192.54314374035
32,114138.65896136014
33,168141.89505718704
34,189871.1655672334
