,0
0,20290.42397086874
1,19096.520218484486
2,20477.528290272243
3,20005.312627015785
4,21555.605559216237
5,21127.9385434368
6,20673.542339171152
7,18146.14907230797
8,18680.73284203226
9,19806.328668285074
10,19791.479119126067
11,20729.970625975384
12,22805.937598404722
13,26827.195510664125
14,26990.54055141321
15,24662.131243280735
16,24578.973767990294
17,24371.08007976418
18,24121.60765389284
19,25945.132290619036
20,27032.119289058435
21,26788.586682850702
22,27581.552607941736
23,30349.508571180853
24,37578.26910178602
25,39645.32634471996
26,47144.34867001907
27,40949.116760880876
28,47399.76091555402
29,59579.361135772495
30,51266.58351655973
31,54349.34992196983
32,84758.25668978671
33,82147.70594763308
34,81731.91857118085
