,0
0,16235.930570604047
1,15625.892265694289
2,16121.42295546592
3,16607.234704291408
4,16673.057415710904
5,17247.151423942803
6,16992.76772831988
7,15528.477358763079
8,16062.38771788585
9,16984.379222445245
10,17604.023719566274
11,20096.943347126387
12,19850.60991117347
13,21917.294221415566
14,57952.84972528302
15,28187.183718522865
16,26834.198900033767
17,24128.229263055575
18,23451.736853811028
19,29314.671067263786
20,33148.128052982895
21,29991.163476508336
22,30893.15335550107
23,29540.16853701197
24,33148.128052982895
25,33824.620462227445
26,37883.57491769474
27,34050.11793197563
28,38785.56479668747
29,35628.60022021291
30,27961.686248774688
31,29991.16347650834
32,30667.655885752887
33,31795.14323449381
34,34050.11793197564
