,0
0,17308.610341757612
1,16140.07643882826
2,16478.712794371055
3,16297.470801263647
4,18653.61671165997
5,19965.236398621488
6,18954.096858127523
7,16636.10715680644
8,16803.04057151063
9,18162.355519816203
10,19273.655109132687
11,20303.872754164277
12,21634.570545663417
13,23494.685738081564
14,24944.62168294084
15,23208.51417001723
16,24935.08263067203
17,27109.986547960947
18,23513.76384261919
19,23251.439905226885
20,24744.30158529581
21,26580.569147041933
22,25311.875195290067
23,26103.616533601384
24,32509.09013210799
25,36396.25393164848
26,39296.12582136704
27,35418.50107409535
28,85317.28349224583
29,64350.44660539919
30,47652.33560884549
31,65685.91392303273
32,95123.42922458357
33,75062.80230327397
34,83275.92630672028
